cnpj,empresa,status_reclamacao,tempo_resposta_dias,avaliacao_consumidor,data_reclamacao
42.609.578/0001-90,da Costa,Não Resolvida,29,4,2024-05-06
26.958.347/0001-35,da Mota,Resolvida,1,5,2025-07-04
36.872.415/0001-00,Machado Borges S.A.,Resolvida,10,2,2025-01-03
49.025.178/0001-86,Macedo,Resolvida,23,4,2025-05-19
40.783.152/0001-22,Fogaça Cunha S.A.,Não Resolvida,5,1,2024-06-19
81.795.023/0001-31,Monteiro Cirino S/A,Resolvida,12,3,2025-05-24
83.521.749/0001-01,Moura S.A.,Não Resolvida,22,4,2025-08-18
85.761.930/0001-10,Nascimento,Resolvida,10,3,2025-11-24
16.394.720/0001-19,Brito,Não Resolvida,17,2,2024-02-20
36.854.729/0001-72,da Rocha,Resolvida,14,1,2024-05-17
76.859.102/0001-29,Cunha,Resolvida,13,1,2024-04-16
32.840.617/0001-01,Cavalcanti - ME,Resolvida,22,3,2025-12-03
31.789.256/0001-53,Aparecida,Resolvida,26,2,2024-02-21
50.412.839/0001-05,Montenegro Abreu S/A,Não Resolvida,2,5,2025-09-28
40.592.381/0001-60,Mendes Ltda.,Resolvida,18,5,2024-05-07
05.839.764/0001-99,Viana das Neves - ME,Não Resolvida,9,2,2024-11-18
07.241.893/0001-06,Dias,Resolvida,25,2,2024-08-20
14.265.378/0001-21,Guerra Cardoso S.A.,Resolvida,21,2,2025-01-03
62.371.904/0001-80,Pereira,Resolvida,27,1,2025-04-14
48.709.251/0001-76,Campos,Resolvida,27,2,2024-09-26
29.780.541/0001-61,Novaes,Resolvida,25,5,2025-06-29
43.917.526/0001-43,Rocha S/A,Resolvida,13,1,2025-06-16
49.012.863/0001-78,Monteiro,Resolvida,28,2,2025-09-26
71.048.923/0001-61,Sales Cirino S/A,Resolvida,2,4,2024-05-15
41.582.039/0001-41,Sousa,Não Resolvida,1,3,2024-09-07
40.319.527/0001-06,Costela,Resolvida,19,2,2024-03-05
41.729.053/0001-25,Carvalho da Conceição e Filhos,Resolvida,11,3,2024-03-12
82.051.634/0001-38,Araújo,Resolvida,17,3,2024-12-01
45.893.016/0001-09,Novais,Resolvida,3,2,2024-08-15
17.832.564/0001-93,Cardoso,Resolvida,24,5,2024-05-01
69.482.013/0001-40,Freitas,Resolvida,26,4,2024-05-15
03.179.654/0001-12,Cassiano,Resolvida,19,3,2024-09-11
18.974.023/0001-62,Gomes S/A,Não Resolvida,17,3,2024-09-17
67.342.051/0001-72,das Neves e Filhos,Resolvida,2,1,2025-05-13
36.945.702/0001-95,Aragão S.A.,Não Resolvida,21,1,2024-04-05
26.840.537/0001-53,Melo,Resolvida,17,1,2025-09-04
68.940.513/0001-16,Marques,Resolvida,11,2,2025-06-01
87.301.692/0001-96,Pastor,Resolvida,3,3,2025-10-01
61.280.745/0001-46,Azevedo Correia S.A.,Resolvida,12,4,2024-02-27
48.936.152/0001-27,Moura Ltda.,Não Resolvida,6,2,2024-03-29
42.985.036/0001-11,Borges,Resolvida,5,4,2024-10-07
10.789.435/0001-10,da Rosa,Não Resolvida,17,5,2025-02-15
98.061.437/0001-30,Oliveira e Filhos,Não Resolvida,25,1,2025-11-03
87.359.061/0001-28,Dias - ME,Resolvida,16,3,2024-03-30
75.423.061/0001-60,da Rocha da Cunha Ltda.,Resolvida,21,1,2024-03-16
92.306.174/0001-03,Câmara Ltda.,Resolvida,22,1,2024-11-09
07.154.296/0001-44,Fernandes,Não Resolvida,12,3,2025-11-15
86.395.204/0001-94,Pires - EI,Não Resolvida,13,2,2024-02-18
21.389.475/0001-91,Cavalcanti,Resolvida,10,1,2025-06-27
58.391.427/0001-48,Silveira Borges S.A.,Resolvida,21,2,2025-01-20
10.725.498/0001-03,Farias,Resolvida,15,5,2025-01-07
92.417.683/0001-03,Moura,Resolvida,19,2,2025-10-03
40.563.798/0001-02,Carvalho,Resolvida,29,2,2025-05-17
43.907.125/0001-02,Fonseca,Resolvida,20,3,2024-11-16
61.348.790/0001-95,Carvalho S.A.,Resolvida,10,1,2024-04-17
96.738.120/0001-60,Aparecida Nunes S/A,Resolvida,24,3,2024-05-12
14.209.387/0001-03,Rodrigues S.A.,Resolvida,13,2,2024-05-26
25.487.160/0001-38,Costa Aparecida - EI,Não Resolvida,11,2,2024-05-15
29.674.805/0001-00,Silva Silveira e Filhos,Resolvida,12,1,2024-02-09
19.502.837/0001-67,Guerra,Resolvida,22,1,2024-06-14
36.572.819/0001-70,da Cruz,Resolvida,1,5,2025-09-16
05.917.684/0001-04,Novais,Resolvida,2,3,2024-02-26
38.492.615/0001-55,Câmara da Costa S/A,Não Resolvida,27,5,2025-12-18
62.538.904/0001-22,Pastor Azevedo e Filhos,Resolvida,3,3,2025-02-24
18.409.276/0001-93,Ramos,Não Resolvida,20,5,2024-09-18
43.910.875/0001-33,Teixeira Casa Grande - ME,Não Resolvida,29,5,2024-04-10
79.012.683/0001-57,Machado,Resolvida,16,4,2024-03-31
61.473.852/0001-90,Rodrigues,Não Resolvida,10,1,2025-11-15
94.261.380/0001-61,Pires,Resolvida,20,5,2024-06-21
94.508.123/0001-81,Cardoso e Filhos,Resolvida,17,3,2025-11-24
31.948.072/0001-99,Campos,Resolvida,24,2,2025-03-12
82.156.374/0001-65,Vasconcelos Castro - EI,Resolvida,5,1,2024-08-17
40.251.837/0001-28,Nascimento - EI,Resolvida,21,1,2024-12-15
02.753.419/0001-40,Casa Grande S/A,Resolvida,25,4,2025-01-19
31.480.275/0001-01,Gonçalves da Rocha Ltda.,Resolvida,26,5,2025-09-08
48.172.350/0001-61,Jesus,Não Resolvida,11,4,2025-10-23
31.248.957/0001-85,Lopes,Resolvida,24,3,2024-08-19
54.201.897/0001-40,Castro,Não Resolvida,2,1,2024-07-24
27.539.041/0001-07,Costela da Luz S.A.,Resolvida,4,3,2025-04-24
05.823.791/0001-73,Almeida,Resolvida,29,5,2025-05-08
50.287.319/0001-18,Borges,Não Resolvida,14,2,2024-03-27
63.948.572/0001-17,Santos S.A.,Resolvida,25,2,2025-09-26
46.258.013/0001-66,Rodrigues Pastor S.A.,Resolvida,26,3,2025-10-26
34.605.981/0001-12,da Paz Farias Ltda.,Não Resolvida,5,5,2024-08-13
20.519.476/0001-40,Carvalho Sousa - ME,Resolvida,23,1,2025-02-22
76.502.389/0001-35,Mendonça - EI,Resolvida,20,2,2025-06-16
68.179.524/0001-25,Abreu Correia Ltda.,Resolvida,27,2,2025-09-19
45.607.281/0001-83,Borges Ltda.,Resolvida,18,1,2025-01-04
83.705.912/0001-96,Vieira,Resolvida,3,5,2024-04-30
20.136.849/0001-02,Cardoso - EI,Resolvida,15,1,2024-10-29
68.359.017/0001-73,Araújo Duarte - EI,Resolvida,14,5,2026-01-24
07.192.485/0001-01,Costa Barbosa S.A.,Resolvida,9,3,2025-11-16
24.530.786/0001-17,Camargo Barbosa e Filhos,Resolvida,29,1,2025-05-13
72.049.815/0001-76,Martins,Resolvida,2,4,2024-08-18
60.839.514/0001-67,Cirino,Resolvida,15,1,2024-11-01
31.652.807/0001-32,Carvalho,Resolvida,27,2,2025-05-28
12.765.849/0001-35,Pires e Filhos,Resolvida,15,3,2025-08-26
36.412.795/0001-92,Correia,Resolvida,26,2,2025-02-22
89.530.612/0001-08,Sá,Resolvida,28,5,2024-11-24
61.529.703/0001-04,Carvalho Ribeiro S/A,Não Resolvida,13,1,2025-06-22
70.615.349/0001-13,da Cunha Fernandes e Filhos,Resolvida,13,5,2025-11-14
09.634.512/0001-84,da Conceição Silveira Ltda.,Não Resolvida,3,2,2025-05-03
39.872.450/0001-00,da Conceição,Resolvida,13,5,2025-11-13
06.178.325/0001-45,Pimenta,Resolvida,24,3,2024-05-24
79.201.845/0001-03,da Costa Ltda.,Não Resolvida,28,1,2025-05-24
39.145.280/0001-61,Cassiano S/A,Resolvida,16,1,2024-04-24
75.198.362/0001-38,Albuquerque,Resolvida,13,1,2024-10-07
87.963.140/0001-43,da Cunha,Não Resolvida,4,3,2024-12-04
76.025.198/0001-20,Aparecida,Não Resolvida,7,5,2025-11-24
14.567.098/0001-78,Ramos Viana Ltda.,Não Resolvida,26,1,2024-03-30
48.572.691/0001-24,Silva Ribeiro - EI,Resolvida,23,2,2024-12-30
86.319.024/0001-23,da Rocha,Resolvida,11,5,2025-01-26
34.128.659/0001-40,Pastor,Resolvida,18,4,2026-01-03
48.523.907/0001-61,Costa Cassiano S/A,Resolvida,13,5,2025-04-17
15.347.298/0001-88,Rios e Filhos,Resolvida,2,5,2025-03-03
93.475.862/0001-51,Gonçalves,Resolvida,17,1,2025-02-01
21.783.904/0001-00,Carvalho,Resolvida,2,4,2026-01-07
59.360.748/0001-48,Pimenta,Resolvida,13,3,2025-10-15
26.017.384/0001-49,da Rocha,Resolvida,19,2,2024-06-01
45.687.320/0001-08,Correia da Costa - EI,Resolvida,2,4,2025-01-11
36.587.249/0001-92,Fogaça Ltda.,Resolvida,5,5,2024-05-06
76.194.528/0001-00,da Luz Garcia S.A.,Não Resolvida,20,4,2025-11-28
83.467.921/0001-96,Sá,Resolvida,27,1,2025-08-24
36.210.859/0001-72,Cunha,Não Resolvida,17,2,2024-05-20
24.806.951/0001-10,Novaes,Resolvida,22,2,2024-07-26
45.920.731/0001-93,Rezende,Resolvida,18,2,2024-11-19
78.951.306/0001-10,Fonseca,Não Resolvida,15,5,2025-05-07
31.045.872/0001-08,da Costa,Resolvida,27,3,2024-06-21
92.750.634/0001-80,Casa Grande,Resolvida,12,5,2025-01-04
64.182.093/0001-03,Pires,Resolvida,6,3,2024-07-19
58.401.329/0001-44,Ribeiro da Paz e Filhos,Resolvida,23,2,2024-09-01
03.182.495/0001-05,Gomes S.A.,Resolvida,2,5,2024-03-30
25.760.348/0001-08,Vasconcelos,Não Resolvida,3,5,2025-09-01
03.425.196/0001-54,Dias,Não Resolvida,15,5,2024-10-12
54.367.891/0001-48,Silva,Resolvida,20,2,2025-11-03
69.430.257/0001-80,Sousa,Não Resolvida,20,3,2025-07-31
21.569.704/0001-50,Andrade - ME,Resolvida,17,4,2024-03-05
97.160.845/0001-86,Leão - ME,Resolvida,29,5,2025-02-27
69.834.507/0001-47,Jesus,Não Resolvida,5,3,2025-07-19
45.072.891/0001-20,Ribeiro Farias e Filhos,Não Resolvida,19,1,2024-06-17
90.861.327/0001-40,Campos Teixeira - EI,Resolvida,27,1,2025-02-08
03.751.629/0001-61,Castro S/A,Resolvida,6,2,2025-05-16
75.361.802/0001-26,Cavalcanti,Resolvida,17,1,2025-07-10
79.623.850/0001-04,Lima Sá Ltda.,Resolvida,18,4,2025-10-29
19.485.327/0001-29,Cavalcante Sá - ME,Resolvida,8,4,2024-12-31
13.475.608/0001-14,Vasconcelos,Resolvida,17,5,2024-08-02
87.240.916/0001-05,Vieira Moraes - ME,Não Resolvida,15,3,2024-04-24
60.357.481/0001-19,da Cunha da Luz - EI,Não Resolvida,20,3,2024-09-25
76.235.890/0001-82,Pires Ltda.,Não Resolvida,12,5,2025-06-24
34.502.891/0001-04,da Mota e Filhos,Não Resolvida,26,3,2025-08-01
14.975.306/0001-78,Pires - EI,Resolvida,15,1,2024-12-22
34.652.197/0001-65,Macedo Andrade e Filhos,Resolvida,7,1,2025-06-27
82.507.413/0001-21,Carvalho,Resolvida,20,4,2024-07-11
39.751.684/0001-07,Peixoto Ltda.,Resolvida,16,1,2025-03-02
07.958.243/0001-86,Souza,Resolvida,22,5,2024-07-11
07.659.283/0001-27,Rezende Sá - ME,Resolvida,24,3,2025-02-12
80.365.472/0001-87,Caldeira Costela Ltda.,Não Resolvida,17,5,2024-03-24
81.069.523/0001-96,Nogueira,Resolvida,18,3,2025-05-01
85.427.069/0001-59,Fogaça - ME,Resolvida,1,4,2024-06-15
67.320.584/0001-53,da Mata,Não Resolvida,8,3,2024-05-09
06.239.417/0001-98,Lopes - EI,Resolvida,24,1,2025-01-07
60.342.597/0001-84,Nunes,Resolvida,25,4,2025-08-06
36.798.421/0001-57,Garcia Pastor - EI,Resolvida,10,2,2025-05-14
47.893.506/0001-30,Vasconcelos S/A,Resolvida,2,1,2025-11-06
10.385.276/0001-99,Fernandes Moreira S.A.,Resolvida,13,1,2024-11-30
79.530.246/0001-25,Sá,Não Resolvida,26,2,2024-12-30
87.425.016/0001-24,Pires - EI,Não Resolvida,26,2,2025-03-26
95.743.682/0001-39,das Neves Ltda.,Não Resolvida,2,2,2025-02-23
30.146.798/0001-45,Rezende,Resolvida,17,3,2026-01-20
32.180.749/0001-54,da Mata S/A,Resolvida,27,1,2024-11-05
01.294.658/0001-16,Ferreira,Não Resolvida,7,1,2025-03-17
56.097.841/0001-13,Pinto,Resolvida,8,2,2025-02-05
97.356.824/0001-30,Teixeira Moraes S/A,Resolvida,20,3,2025-06-18
17.346.590/0001-01,da Rocha - ME,Resolvida,11,4,2024-05-04
85.401.267/0001-43,Pimenta,Resolvida,6,2,2024-12-18
03.916.482/0001-12,Rodrigues Camargo - ME,Não Resolvida,3,1,2024-05-19
09.847.165/0001-78,Monteiro Aragão S/A,Resolvida,14,3,2024-02-22
97.084.531/0001-41,Cavalcanti Marques S/A,Resolvida,12,4,2025-04-20
59.246.370/0001-56,Pastor,Resolvida,13,3,2024-05-18
53.264.071/0001-68,da Paz,Resolvida,23,4,2024-07-08
76.413.598/0001-02,Nunes,Resolvida,29,5,2024-05-03
23.690.584/0001-70,Vieira Carvalho S.A.,Resolvida,19,4,2025-08-02
31.796.485/0001-03,Lima e Filhos,Resolvida,18,3,2024-04-11
42.853.917/0001-89,Moura Araújo - EI,Resolvida,24,1,2024-04-09
80.624.971/0001-41,Correia e Filhos,Resolvida,28,2,2024-09-21
15.239.764/0001-01,Nunes,Resolvida,29,5,2025-10-25
27.146.938/0001-70,Guerra,Resolvida,15,1,2024-04-05
54.820.971/0001-07,Jesus,Não Resolvida,17,5,2024-04-25
65.917.832/0001-12,Marques Viana - ME,Resolvida,29,4,2025-10-05
39.124.805/0001-82,Rios,Resolvida,28,4,2024-03-17
90.258.671/0001-40,Rocha,Não Resolvida,28,2,2024-04-13
41.982.657/0001-89,Cirino,Não Resolvida,9,4,2024-04-04
87.543.016/0001-29,Ramos,Resolvida,2,4,2024-12-10
54.903.781/0001-53,Monteiro,Não Resolvida,2,4,2025-04-15
63.452.801/0001-08,Costa,Resolvida,10,3,2025-02-08
15.362.084/0001-80,Marques e Filhos,Resolvida,22,5,2025-08-05
85.430.612/0001-77,Rezende Fernandes Ltda.,Resolvida,13,2,2024-02-25
30.951.478/0001-68,Andrade Sousa S.A.,Resolvida,15,1,2024-06-03
39.648.125/0001-68,Correia,Resolvida,8,4,2025-07-09
07.231.564/0001-84,Novaes,Não Resolvida,23,2,2024-03-25
32.154.807/0001-75,Ramos,Resolvida,14,2,2025-03-30
98.065.413/0001-59,Gonçalves Andrade - ME,Resolvida,5,5,2025-04-05
04.268.753/0001-33,Guerra,Resolvida,22,4,2025-02-06
18.674.920/0001-50,Marques,Resolvida,14,1,2024-10-17
24.683.970/0001-05,Moura Costa e Filhos,Resolvida,7,1,2024-11-08
67.895.302/0001-46,Sampaio,Resolvida,25,4,2025-02-18
65.179.032/0001-41,Cardoso - EI,Resolvida,5,5,2025-04-21
40.371.958/0001-03,Mendonça,Resolvida,8,4,2025-11-12
02.875.964/0001-09,da Cruz,Resolvida,13,3,2026-01-23
92.837.140/0001-37,Mendonça Câmara - ME,Não Resolvida,22,2,2025-03-21
56.097.183/0001-60,da Mota Nascimento S/A,Resolvida,12,1,2025-10-19
67.108.452/0001-62,Novaes,Resolvida,20,3,2025-01-22
27.451.396/0001-40,Nogueira,Não Resolvida,25,4,2025-11-26
73.208.514/0001-00,Cavalcante,Resolvida,11,5,2024-12-08
75.620.938/0001-03,Fernandes Peixoto S.A.,Resolvida,12,5,2024-07-22
95.402.861/0001-02,Costela,Não Resolvida,24,4,2024-02-24
40.851.963/0001-13,Andrade Pacheco - ME,Resolvida,15,4,2025-01-06
85.710.634/0001-90,Macedo Ferreira - EI,Resolvida,20,2,2025-04-29
98.702.643/0001-81,Barbosa Melo e Filhos,Não Resolvida,9,5,2025-10-24
45.361.728/0001-87,Cavalcante,Não Resolvida,29,1,2024-09-09
03.185.297/0001-03,Melo,Resolvida,6,5,2025-03-29
87.136.042/0001-32,da Cunha,Não Resolvida,5,1,2025-07-02
48.126.539/0001-18,Sá Moura e Filhos,Resolvida,14,4,2024-06-27
26.510.739/0001-37,Pimenta e Filhos,Resolvida,21,2,2025-03-18
93.408.261/0001-26,da Costa S.A.,Não Resolvida,11,2,2024-09-06
25.041.683/0001-56,Barros,Resolvida,29,1,2025-03-20
41.368.529/0001-40,Cunha,Resolvida,24,3,2024-11-04
19.674.825/0001-10,Cunha,Resolvida,12,4,2024-07-26
70.586.932/0001-43,Casa Grande Ltda.,Resolvida,13,4,2025-08-16
15.306.942/0001-70,Garcia da Mota e Filhos,Resolvida,10,4,2025-07-13
80.274.631/0001-38,Andrade - ME,Resolvida,18,5,2026-01-18
61.053.497/0001-09,Camargo,Resolvida,8,5,2024-08-10
20.485.967/0001-18,Aparecida,Resolvida,5,2,2025-02-05
05.734.926/0001-24,da Cunha Lopes S/A,Resolvida,23,2,2025-05-28
41.209.387/0001-78,Cavalcanti Araújo e Filhos,Resolvida,18,2,2024-10-29
52.907.481/0001-17,Leão,Resolvida,8,1,2025-10-05
24.579.638/0001-97,Jesus Ltda.,Resolvida,8,1,2025-06-18
13.092.756/0001-50,Porto,Resolvida,1,1,2025-09-26
91.582.036/0001-86,Silveira S/A,Resolvida,16,5,2024-10-29
21.063.475/0001-05,Nogueira - EI,Resolvida,9,2,2024-08-04
37.469.158/0001-15,Moura,Resolvida,2,2,2025-09-15
67.830.429/0001-87,Jesus Camargo e Filhos,Resolvida,9,1,2024-10-23
08.135.962/0001-60,Mendes,Resolvida,16,5,2024-08-12
04.389.726/0001-19,Moraes,Não Resolvida,13,1,2024-05-10
90.852.671/0001-73,Pastor,Resolvida,2,5,2024-03-09
01.689.342/0001-23,Brito,Não Resolvida,4,3,2025-04-12
69.403.527/0001-63,Oliveira da Conceição S/A,Não Resolvida,18,5,2024-11-13
62.579.084/0001-17,Cunha,Não Resolvida,19,5,2024-05-16
25.831.047/0001-28,Peixoto,Não Resolvida,24,1,2025-09-18
85.934.610/0001-15,Abreu,Resolvida,1,4,2025-12-26
15.980.472/0001-25,Novaes Teixeira e Filhos,Resolvida,15,5,2024-04-23
96.123.047/0001-11,Costa Pires e Filhos,Resolvida,29,1,2025-01-24
04.723.615/0001-05,Lopes Porto - EI,Resolvida,17,3,2024-11-03
81.052.436/0001-26,Novaes Siqueira - EI,Resolvida,26,3,2025-01-02
68.527.034/0001-72,Abreu e Filhos,Resolvida,14,2,2025-01-21
29.156.378/0001-60,Abreu,Não Resolvida,9,3,2024-07-26
09.674.312/0001-55,Martins Barbosa S/A,Resolvida,8,2,2024-08-16
38.762.459/0001-03,Martins,Resolvida,21,5,2024-03-19
73.591.846/0001-17,Siqueira - ME,Resolvida,12,5,2024-11-28
50.218.739/0001-42,Machado - EI,Resolvida,5,4,2025-10-03
32.491.568/0001-49,Lima,Resolvida,11,2,2025-05-10
75.198.264/0001-09,da Rocha Sá e Filhos,Resolvida,11,5,2024-11-24
49.675.312/0001-94,Rios,Não Resolvida,11,5,2025-12-15
69.378.451/0001-63,Correia,Não Resolvida,25,4,2025-08-15
74.531.269/0001-30,Rios,Não Resolvida,15,4,2026-01-15
75.630.829/0001-77,Rodrigues Ferreira Ltda.,Não Resolvida,22,3,2025-02-10
53.190.486/0001-34,Vasconcelos Novais e Filhos,Resolvida,29,4,2024-05-22
81.706.342/0001-23,Siqueira,Resolvida,20,3,2026-01-07
53.978.426/0001-80,Cassiano e Filhos,Não Resolvida,28,3,2025-11-27
17.648.592/0001-55,Cavalcante,Resolvida,10,4,2025-12-14
80.694.321/0001-72,Mendes Novais S.A.,Resolvida,2,1,2025-07-10
29.617.480/0001-16,Fonseca Aparecida - EI,Não Resolvida,26,1,2025-09-05
75.486.390/0001-50,Correia,Resolvida,7,4,2025-05-21
06.578.394/0001-46,Sampaio e Filhos,Resolvida,13,1,2025-09-22
47.935.621/0001-20,Lopes da Paz e Filhos,Resolvida,10,4,2024-10-26
95.401.738/0001-77,Marques da Conceição - EI,Resolvida,22,1,2025-05-14
34.802.796/0001-18,da Mata S.A.,Resolvida,13,2,2024-06-20
31.920.648/0001-00,Monteiro,Resolvida,13,5,2025-07-07
53.819.746/0001-98,Aparecida Aparecida Ltda.,Não Resolvida,9,2,2024-04-07
60.928.314/0001-80,Câmara,Resolvida,10,2,2024-12-19
23.174.095/0001-65,Cavalcanti,Resolvida,10,1,2024-10-31
13.498.257/0001-67,Pacheco Cavalcanti - ME,Resolvida,5,4,2025-07-22
03.967.128/0001-17,da Mota Costa - EI,Resolvida,19,4,2024-05-18
20.743.561/0001-98,Nunes Cassiano Ltda.,Resolvida,10,1,2025-01-24
86.219.734/0001-81,Sampaio,Resolvida,4,2,2025-06-27
86.741.953/0001-26,Duarte,Resolvida,18,5,2025-09-22
90.174.658/0001-02,Novaes,Resolvida,3,4,2026-01-25
71.236.940/0001-22,Casa Grande - ME,Não Resolvida,23,5,2025-11-10
87.391.524/0001-39,Correia - EI,Resolvida,16,5,2024-04-05
17.359.268/0001-17,da Cunha,Resolvida,28,3,2025-04-16
97.406.238/0001-53,Novais,Resolvida,14,5,2024-05-15
06.248.753/0001-05,Sampaio,Resolvida,25,2,2025-11-10
59.861.734/0001-08,da Rocha Costa - EI,Resolvida,7,5,2024-03-15
57.891.026/0001-94,da Luz - EI,Resolvida,10,5,2025-05-27
76.432.958/0001-13,Leão,Resolvida,17,3,2025-09-09
40.835.279/0001-48,Novais - EI,Não Resolvida,28,3,2024-09-15
90.234.851/0001-91,Alves e Filhos,Resolvida,6,2,2024-05-25
71.392.456/0001-92,da Mota,Não Resolvida,13,4,2025-01-18
52.107.439/0001-11,Garcia Pastor - ME,Resolvida,1,4,2024-05-11
45.789.320/0001-00,Mendonça,Resolvida,8,1,2025-05-18
29.476.301/0001-78,Barbosa,Resolvida,9,4,2025-09-17
08.326.751/0001-04,Gomes,Resolvida,28,2,2024-09-09
79.450.168/0001-59,Pires,Resolvida,12,3,2024-12-10
78.492.631/0001-62,Cardoso,Resolvida,8,2,2024-03-17
21.546.073/0001-53,Costa,Resolvida,12,5,2024-12-07
80.396.172/0001-65,da Rocha Barbosa - EI,Resolvida,22,2,2024-07-21
62.578.094/0001-38,das Neves Almeida Ltda.,Não Resolvida,2,1,2024-07-22
68.712.345/0001-01,da Mata Silveira - EI,Não Resolvida,23,4,2025-01-22
74.503.921/0001-03,Castro,Resolvida,12,2,2024-12-01
94.231.705/0001-63,Moraes das Neves - EI,Não Resolvida,13,5,2025-10-02
45.361.078/0001-70,Novaes,Resolvida,25,2,2025-09-24
52.067.948/0001-68,Barros,Resolvida,25,4,2025-04-27
08.175.263/0001-43,Martins,Resolvida,12,4,2024-08-19
75.964.302/0001-89,Souza,Resolvida,13,4,2024-05-29
98.574.316/0001-91,Silveira,Não Resolvida,22,5,2024-08-10
20.913.845/0001-85,Lima,Resolvida,24,4,2025-10-11
82.519.403/0001-06,Araújo Abreu S/A,Resolvida,21,4,2024-05-30
49.083.567/0001-68,Rodrigues Siqueira S/A,Resolvida,18,1,2025-06-30
52.139.478/0001-09,Rezende,Resolvida,12,4,2025-12-13
62.985.341/0001-10,Carvalho Alves S/A,Resolvida,14,4,2024-01-29
32.856.107/0001-22,Cavalcante Gomes Ltda.,Resolvida,18,5,2025-01-01
08.279.145/0001-85,Costela,Resolvida,21,2,2025-05-09
39.160.284/0001-19,Castro e Filhos,Não Resolvida,9,1,2024-07-04
41.276.085/0001-12,Jesus,Resolvida,20,2,2024-12-23
50.491.267/0001-05,da Rosa Sales Ltda.,Resolvida,23,3,2024-12-30
98.320.174/0001-36,Peixoto,Não Resolvida,15,4,2024-08-11
56.472.190/0001-02,Barbosa S.A.,Não Resolvida,10,4,2025-12-01
15.346.279/0001-37,Guerra Nunes S/A,Não Resolvida,10,2,2025-05-11
08.569.237/0001-08,Moura e Filhos,Resolvida,24,2,2024-07-14
70.495.318/0001-76,Moraes,Não Resolvida,6,3,2024-02-05
37.406.198/0001-18,Nunes,Não Resolvida,20,1,2024-07-31
45.867.302/0001-08,Rodrigues S.A.,Resolvida,3,2,2025-06-03
32.746.980/0001-62,Barbosa,Resolvida,3,2,2025-09-15
78.462.319/0001-26,Castro Macedo S/A,Não Resolvida,18,2,2025-02-05
83.701.964/0001-94,Garcia S.A.,Não Resolvida,25,5,2024-12-15
89.375.061/0001-47,da Paz,Não Resolvida,4,1,2025-12-01
01.873.264/0001-12,Costa - EI,Resolvida,22,5,2024-07-12
70.614.583/0001-26,Rocha S.A.,Resolvida,3,1,2024-12-23
85.169.207/0001-47,Sampaio Fogaça S.A.,Não Resolvida,13,5,2025-10-30
70.426.513/0001-44,Almeida Melo S/A,Resolvida,21,2,2024-05-06
86.530.412/0001-59,Santos Cavalcanti - EI,Resolvida,15,4,2025-09-30
79.143.685/0001-85,da Costa,Resolvida,12,4,2024-04-27
49.756.130/0001-48,Mendes,Resolvida,14,4,2025-04-24
10.493.865/0001-90,Vargas,Resolvida,28,5,2025-07-21
03.681.942/0001-70,da Cunha,Resolvida,2,4,2025-07-29
32.815.706/0001-06,Novais,Resolvida,19,5,2025-02-12
37.658.041/0001-80,Cardoso,Não Resolvida,10,1,2024-03-03
27.450.138/0001-49,Cavalcante - ME,Resolvida,11,2,2024-05-16
47.825.913/0001-00,Gomes,Resolvida,24,1,2025-07-03
70.952.483/0001-00,Caldeira,Resolvida,9,3,2025-02-07
97.541.382/0001-00,Siqueira S.A.,Resolvida,28,3,2024-06-08
50.897.461/0001-87,Azevedo,Resolvida,16,4,2025-08-01
69.243.817/0001-97,Ramos Casa Grande - ME,Resolvida,4,1,2025-11-15
93.047.286/0001-41,Moraes,Resolvida,28,4,2025-05-02
78.129.345/0001-37,da Luz da Rocha - EI,Resolvida,4,4,2025-08-31
42.865.701/0001-33,Abreu S/A,Não Resolvida,18,5,2024-07-06
18.056.427/0001-77,Aragão,Não Resolvida,29,3,2025-09-22
02.934.615/0001-10,Silva Casa Grande S/A,Resolvida,28,5,2025-02-06
49.086.132/0001-77,Pires S.A.,Resolvida,5,2,2024-05-13
42.173.695/0001-53,Viana S/A,Resolvida,21,5,2024-05-04
31.204.598/0001-64,Cunha Cunha - EI,Não Resolvida,26,5,2024-03-01
23.680.945/0001-05,Nogueira,Resolvida,21,2,2025-03-14
05.842.163/0001-35,Dias Costa S/A,Resolvida,21,5,2025-07-13
01.734.592/0001-38,Viana Cavalcante S/A,Não Resolvida,13,4,2025-10-20
18.960.245/0001-26,Fernandes,Resolvida,17,4,2025-12-19
69.350.418/0001-25,Cunha,Resolvida,21,4,2025-08-08
76.528.139/0001-74,Sales,Resolvida,21,2,2025-06-13
25.019.476/0001-03,Castro Carvalho - ME,Resolvida,2,4,2024-09-15
49.732.805/0001-19,Moraes S.A.,Resolvida,18,3,2025-09-26
25.013.869/0001-00,Santos S.A.,Resolvida,20,5,2024-10-29
19.765.302/0001-89,Albuquerque S.A.,Resolvida,21,2,2024-08-23
38.104.527/0001-39,Pastor,Não Resolvida,9,1,2024-06-18
92.754.801/0001-60,da Luz,Resolvida,9,1,2025-10-07
48.369.072/0001-37,Leão Nogueira S.A.,Não Resolvida,16,5,2025-07-06
59.671.824/0001-36,Moreira S/A,Resolvida,18,2,2024-10-23
09.185.746/0001-91,Ferreira e Filhos,Resolvida,8,5,2025-03-23
08.346.295/0001-64,da Mota,Não Resolvida,23,2,2024-04-10
12.730.456/0001-96,Rocha S.A.,Resolvida,22,1,2024-04-14
